,model,MAE,RMSE,MAPE,R²,n_samples,Daily_Peak_MAE,train_time_s,R2,horizon,horizon_mae,activation
0,LightGBM_SetupA,4.029,7.445,15.73,0.9752,241523,5.333,13.2,,,,
1,XGBoost_SetupA,4.197,7.662,16.53,0.9737,241523,5.496,7.0,,,,
2,RandomForest_SetupA,4.402,8.376,15.19,0.9686,241523,6.169,360.0,,,,
3,Ridge_SetupA,7.46,12.856,41.79,0.9261,241523,10.742,0.5,,,,
4,Lasso_SetupA,7.448,12.862,41.57,0.926,241523,10.739,19.0,,,,
5,PatchTST_SetupC,6.955,14.1184,26.81,0.9102,241393,10.609,3026.3,,,,
6,LSTM_SetupC,8.38,15.2,30.0,0.88,241393,12.0,1146.0,,,,
7,CNN-LSTM_SetupC,8.04,14.8,28.0,0.89,241393,11.5,666.0,,,,
8,GRU_SetupC,8.08,14.9,29.0,0.88,241393,11.6,1200.0,,,,
9,LSTM_SetupB,34.938,47.562,360.79,-0.0039,237343,45.0,2872.3,,,,
10,Mean Baseline,22.673,35.314,127.41,0.4424,241523,34.09,0.0,,,,
11,Naive,44.073,51.791,597.46,-0.1993,241523,48.78,0.0,,,,
12,Seasonal Naive (24 h),43.828,63.739,107.46,-0.8165,241523,64.907,0.0,,,,
13,GrandEnsemble_A0_C100,6.920712740072055,14.137933314006723,26.9018360946845,,5864340,,,0.9118324971864498,,,
14,GrandEnsemble_A10_C90,6.49445988475641,13.123046330954171,25.286219490108188,,5864340,,,0.924036318030628,,,
15,GrandEnsemble_A30_C70,5.70538684093304,11.212703163468776,22.33098860376124,,5864340,,,0.9445428773343773,,,
16,GrandEnsemble_A50_C50,5.0171468738056415,9.540810476787538,19.76593272332108,,5864340,,,0.9598479965057006,,,
17,GrandEnsemble_A70_C30,4.462782290225307,8.253569061602656,17.645208713882635,,5864340,,,0.9699516754190938,,,
18,GrandEnsemble_A90_C9,4.105631265058611,7.550346022865186,16.114244742441038,,5864340,,,0.9748539141932404,,,
19,GrandEnsemble_A100_C0,4.054126002546184,7.474816467927352,15.752947716252852,,5864340,,,0.9753544933768462,,,
20,CNN-LSTM_SetupB,9.37535352408488,16.744497198763582,33.83243442989976,,241393,,680.8,0.877169104873744,24.0,"[9.157941438392358, 9.003779814507846, 9.025767203974503, 9.089559372145604, 9.126476262783292, 9.182204186155221, 9.235100362840496, 9.281607236346758, 9.31404320183661, 9.384398445884624, 9.450550267955922, 9.389828122186646, 9.372700682994552, 9.442649245084858, 9.453411225356156, 9.436071042731943, 9.471724873664337, 9.51444853868895, 9.514481220483866, 9.577867194457887, 9.628276562010027, 9.58928136626732, 9.58746716825624, 9.778849543031106]","ReLU (Conv), Tanh (Recurrent), ReLU (Dense)"
21,GRU_SetupB,9.639067580229385,17.421937880329715,33.130594977958886,,241393,,959.2,0.8670291894008746,24.0,"[9.26848947232806, 9.220304916920485, 9.298814516229179, 9.352306330364705, 9.408275514230818, 9.451278494806846, 9.50378772379961, 9.536841509710282, 9.588676096553948, 9.64762932931244, 9.675394099224205, 9.68372662555509, 9.702971280493985, 9.725610323451626, 9.724822643318829, 9.750796716467, 9.776359380181557, 9.809422977217059, 9.82802594447587, 9.857946889832828, 9.85540210198048, 9.875869387188299, 9.866629397261738, 9.928240254600322]","Tanh (Recurrent), ReLU (Dense)"
